host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,room_type,accommodates,beds,price,review_scores_rating,bathrooms_number,number_of_days_booked
within a few hours,100,100,Excelsior,Private room,4,2,79,4.91,1,169
within a few hours,100,60,Potrero Hill,Entire home/apt,4,4,249,4.53,2,163
within an hour,100,86,Mission,Entire home/apt,2,1,125,4.78,1,216
within an hour,96.43234029939234,87.44211994421188,Mission,Entire home/apt,2,2,70,4.5,1,365
within an hour,100,46,Russian Hill,Entire home/apt,4,1,271,5,1,4
within an hour,100,100,North Beach,Entire home/apt,4,2,160,4.94,1,1
within a day,100,75,Nob Hill,Private room,1,1,70,4.93,1,96
within an hour,100,98,Mission,Entire home/apt,3,1,150,4.87,1,313
within a day,100,67,North Beach,Private room,2,1,110,4.7,1,11
within an hour,100,100,Potrero Hill,Entire home/apt,2,1,156,4.7,1,20
within an hour,96.43234029939234,0,Mission,Private room,2,1,100,4.8,1,0
within an hour,100,100,Western Addition,Entire home/apt,3,2,181,4.87,1,161
within an hour,100,80,Bernal Heights,Entire home/apt,4,2,235,4.88,2,0
within an hour,96.43234029939234,88,Haight Ashbury,Private room,1,1,56,4.7,4,2
within an hour,100,0,Western Addition,Entire home/apt,2,1,675,4.87,1,0
within an hour,100,99,Mission,Private room,3,1,122,4.92,1,365
within a few hours,100,93,Bayview,Private room,2,1,95,4.95,1,0
within an hour,96.43234029939234,0,Nob Hill,Entire home/apt,2,1,100,4.93,1,0
within an hour,96.43234029939234,88,Haight Ashbury,Private room,1,2,65,4,3,0
within an hour,96.43234029939234,88,Haight Ashbury,Private room,1,2,65,3.2,3,0
within an hour,100,100,Castro/Upper Market,Private room,2,1,99,4.93,1,319
within a few hours,100,60,Noe Valley,Entire home/apt,3,2,95,4.84,1,130
within a day,90,87,Western Addition,Private room,2,1,126,4.89,1,302
within an hour,100,100,Nob Hill,Entire home/apt,2,1,149,4.88,1,11
within an hour,100,100,Potrero Hill,Private room,2,1,157,4.91,1,9
within an hour,100,99,Pacific Heights,Entire home/apt,4,2,181,4.85,1,319
within an hour,100,100,Twin Peaks,Private room,2,1,165,4.97,1,1
within an hour,96.43234029939234,87.44211994421188,Financial District,Entire home/apt,2,1,1000,4.86,0,0
within an hour,100,99,Mission,Private room,4,2,164,4.78,1,365
within a few hours,100,85,Bernal Heights,Entire home/apt,4,2,190,4.92,2,365
within a day,100,96,Richmond,Entire home/apt,4,2,200,4.97,1,365
within an hour,96.43234029939234,0,Bernal Heights,Entire home/apt,2,2,150,4.81,1,59
within an hour,100,99,Potrero Hill,Entire home/apt,2,1,290,4.95,1,16
within an hour,96.43234029939234,100,Mission,Private room,1,1,145,4.98,1,360
within a few hours,100,67,Bernal Heights,Entire home/apt,1,1,79,4.92,1,264
within an hour,100,92,Mission,Entire home/apt,2,1,87,4.63,1,208
within an hour,96.43234029939234,100,Bernal Heights,Private room,2,1,115,4.91,1,0
within an hour,100,100,Twin Peaks,Entire home/apt,2,1,121,4.47,1,0
within a day,100,100,Downtown/Civic Center,Entire home/apt,2,2,165,4.97,1,114
within an hour,96.43234029939234,80,Western Addition,Entire home/apt,2,1,130,5,1,276
within an hour,100,100,Mission,Entire home/apt,2,1,98,4.84,1,312
